# v_cm v_tan, v_rad n_tot x_cm y_cm z_cm
29.860395 86.245628 -41.803238 622.354614 18601.591797 14310.115234 61939.320312
317.280487 82.332069 -13.038788 598.580627 8675.530273 70113.601562 7205.608398
203.303207 21.525148 -36.278244 320.550323 39691.691406 4995.031250 60430.703125
154.785034 47.479271 -104.385132 303.513611 71889.921875 48252.488281 28395.890625
126.681992 27.185417 -41.692238 261.982605 40730.968750 58250.156250 13031.050781
348.501740 20.190498 -139.412781 267.023590 1574.622803 55776.351562 68301.093750
