# v_cm v_tan, v_rad n_tot x_cm y_cm z_cm
400.317871 94.294479 -38.173653 450.035583 16072.955078 48454.015625 40593.515625
183.333298 122.194427 -19.749710 452.293793 23102.738281 8872.188477 29807.105469
67.564850 117.264931 -24.651375 348.461670 53169.875000 42073.445312 63963.488281
214.114334 223.232742 -22.269875 255.593475 73703.195312 54645.976562 52969.945312
137.559265 52.233147 -19.213234 294.536957 69238.828125 52717.132812 27928.041016
245.528473 16.848997 -66.084686 347.975647 63980.242188 11873.367188 5041.551270
248.614273 46.395592 -22.611168 348.448242 7541.357422 46031.976562 63183.218750
253.358963 37.563618 -24.491791 275.873596 60063.675781 3391.370850 57416.007812
226.651932 61.474182 -44.853645 359.920471 28914.640625 56589.085938 39679.667969
128.441284 23.830416 -49.638733 238.595123 40727.886719 58256.578125 13040.574219
348.301361 20.177242 -142.355698 265.934937 1575.244141 55777.695312 68302.078125
329.412842 40.491959 -50.497639 201.550980 3303.234375 32843.042969 3711.506348
422.354004 76.532166 -47.499851 196.092850 21027.812500 58562.210938 66512.054688
