# v_cm v_tan, v_rad n_tot x_cm y_cm z_cm
550.582581 149.585541 -153.988312 7281.000000 -188.912598 365.937134 -397.205902
379.529419 307.756592 -72.525871 13079.000000 160.477859 148.041153 -149.406525
329.759796 260.881836 -133.482849 13269.000000 -376.582764 -372.754791 261.133728
577.347839 156.948456 -117.669167 7386.000000 164.204620 81.580566 174.689880
290.174377 73.437714 -58.393585 12396.000000 492.698547 50.186821 -227.914612
473.379974 320.658112 -57.059116 12326.000000 -375.912323 -422.245514 270.982178
741.712341 116.155579 -125.455078 9791.000000 382.072479 -39.342224 -96.353958
722.969727 184.734497 -39.164665 11243.000000 -317.045258 306.541138 151.577957
1001.964783 179.268234 -108.968971 8354.000000 367.193878 251.389221 -231.336609
598.790710 30.063507 -97.390640 10803.000000 293.836365 -46.583988 -131.171402
524.967163 70.098732 -77.625549 9930.000000 -189.856201 399.301575 -175.162033
213.047775 66.209862 -68.476738 10522.000000 -66.743660 282.278809 310.885193
620.623169 190.439606 -116.894669 10312.000000 483.260559 -368.179108 244.004532
177.016449 50.576576 -69.871948 12863.000000 396.328766 262.745300 -147.442245
613.441956 30.970627 -139.314545 10180.000000 -50.555077 -161.704803 35.799332
588.018005 132.474487 -94.636208 13178.000000 -317.705536 -348.255127 367.985840
823.043762 30.793795 -202.391769 12664.000000 -303.715088 -347.745300 123.075974
487.588684 210.197235 -5.524593 9052.000000 109.086349 401.273254 -321.566223
227.049454 103.624397 -98.050987 8711.000000 21.418739 73.125885 492.194763
372.032501 30.711596 -46.635719 7114.000000 84.842163 56.853821 -431.123657
558.804260 80.956139 -94.982162 9020.000000 495.647675 340.592163 412.134644
215.953949 41.119240 -46.779991 9078.000000 462.694855 -321.026550 402.543091
634.990479 216.702866 -189.771957 7917.000000 -259.955933 -118.348373 141.394409
589.436951 51.523434 -90.974167 8314.000000 468.716217 -493.417969 405.426727
410.819092 221.397919 -100.835869 11821.000000 186.534393 -17.700403 14.003036
345.718750 25.826117 -87.475517 8453.000000 361.263794 -490.877289 389.523895
331.733185 27.829700 -135.646698 9551.000000 -142.598831 444.431763 -457.687805
1222.239624 68.125061 -28.984314 6478.000000 79.357086 -439.952698 -435.809937
217.326492 210.366150 -53.542698 6360.000000 -191.358826 -433.384216 6.493607
95.510147 31.948566 -176.247437 11490.000000 -434.378510 -131.187195 -393.498657
512.027649 477.814880 -13.609531 8497.000000 158.684860 -469.288971 334.444977
493.551147 65.167480 -149.624664 10774.000000 -206.754959 428.224976 313.004730
446.026428 96.486526 -27.379753 9934.000000 -388.762451 -344.365021 356.231140
564.234802 198.565536 -170.610977 10981.000000 380.193329 424.050568 -394.296631
1096.921387 179.107895 -175.637985 13053.000000 -360.879028 392.294800 -335.397675
405.280273 56.889900 -128.082916 8295.000000 -265.797699 -248.476227 298.409485
481.728882 172.524948 -31.985413 7188.000000 -132.271927 0.534954 431.423767
379.477203 53.490608 -23.942741 7351.000000 358.276306 -68.940613 -17.598831
511.907898 154.065552 -76.625175 12303.000000 -306.085876 -82.195129 335.533020
284.347137 16.391779 -20.099281 6524.000000 -32.636063 304.236511 -481.918396
501.881653 241.723358 -331.975098 7456.000000 -380.365967 400.728210 -148.644806
318.610840 188.973618 -147.967468 7802.000000 418.405884 -328.602966 -38.604988
492.962311 109.441483 -122.657684 11658.000000 187.414368 -466.325623 395.518280
615.157715 93.646271 -25.357666 11777.000000 275.961914 17.880987 -119.730713
407.576416 65.899872 -157.767670 8571.000000 -340.570038 -495.516541 -417.268463
429.544159 98.532303 -64.013901 7969.000000 -364.157928 348.790375 59.815636
536.545715 29.023058 -78.804703 12146.000000 -454.562134 -297.719330 -75.647766
324.801239 136.637848 -30.678360 10172.000000 112.304314 -280.866241 235.747116
351.436218 48.983036 -89.948959 12660.000000 492.129517 445.564850 -14.043564
342.147003 144.555161 -75.676514 11032.000000 -90.645691 240.525238 -380.441589
402.762848 42.516655 -40.416267 8045.000000 -16.281340 -226.378662 -42.362602
205.264130 114.712776 -105.737671 9723.000000 -238.479126 285.865051 -388.308472
244.579330 63.580734 -52.835617 7343.000000 -153.177322 -450.029785 284.033386
246.146225 15.573822 -50.993847 6598.000000 255.103943 254.568710 69.009880
725.701660 66.793030 -119.487740 8883.000000 -99.714432 462.503174 -245.266510
323.684631 109.119499 -81.149155 11734.000000 -462.242249 -182.207031 398.345886
476.139679 146.894455 -167.997894 7837.000000 378.399353 156.148132 138.370239
590.390747 293.777008 -32.653816 8604.000000 275.181061 -14.465409 -198.445831
607.122620 174.377594 -228.193604 12582.000000 280.230408 339.312714 99.015213
505.641144 26.938334 -114.062576 8923.000000 -405.715027 253.617737 -130.442795
1163.723633 70.566948 -65.477982 8943.000000 -46.531166 164.963684 290.483246
470.980652 70.654144 -168.418182 8401.000000 -423.097687 65.817734 279.609619
457.091949 165.734009 -3.756998 8126.000000 -115.937836 432.517365 380.604126
462.511780 269.558380 -10.860149 10512.000000 254.679398 -413.531952 469.089111
303.007904 97.375488 -118.675560 8191.000000 -65.867775 341.929871 -79.742050
607.364563 118.649841 -109.502625 13983.000000 -108.789085 -205.419205 293.519501
471.395874 45.330772 -229.485367 9219.000000 87.033249 58.028938 -366.941650
382.982117 186.546021 -129.383942 10649.000000 -467.880096 -300.770020 316.186554
406.268799 80.682854 -144.313019 9910.000000 -225.063705 -58.533123 351.095276
219.296631 174.657547 -116.151093 7938.000000 -259.651062 432.462158 -128.289856
488.579315 99.068565 -80.509270 11930.000000 -370.528412 264.589050 -327.569244
460.678375 29.701065 -40.272690 7169.000000 -335.923828 -7.735486 439.927856
584.627747 47.174885 -65.769318 7568.000000 461.110291 455.764832 -70.073196
127.189285 105.143707 -198.690872 9061.000000 -124.380478 315.067017 -270.159882
504.673553 186.422424 -142.820068 8162.000000 -196.302765 122.508217 36.304012
449.064545 113.086761 -43.334919 9492.000000 453.972656 -387.256592 -232.528152
680.643555 149.738907 -166.547287 10331.000000 425.850830 217.079498 122.523849
495.171112 57.758564 -33.748589 7362.000000 -82.979050 -52.131020 186.560181
319.424286 119.880379 -56.626808 12302.000000 208.640503 486.818451 -372.890900
333.908661 35.068405 -157.847855 8581.000000 -457.790314 189.494385 243.030365
437.209778 79.556213 -201.365234 9449.000000 346.121155 -296.474762 386.143524
344.645050 138.720886 -182.073303 10285.000000 -284.179047 -260.768372 -348.833679
399.754272 256.160309 -6.327187 9708.000000 208.745743 47.466969 454.702209
531.171875 137.427155 -135.735168 9699.000000 -102.916977 -420.183228 -259.882660
128.763229 79.490028 -189.267899 11857.000000 10.855373 -353.286377 366.636902
723.280029 17.751623 -10.270050 8277.000000 175.761276 -138.001572 355.313782
793.013733 108.735329 -208.742340 13377.000000 293.187439 222.117554 202.482758
337.386841 82.225517 -153.973770 8754.000000 412.016907 -326.070496 363.815674
289.492676 95.919418 -181.940643 10457.000000 174.884521 -163.370499 -340.102264
379.788788 164.346146 -122.085220 12527.000000 159.860413 -377.550812 -220.836884
248.723145 87.107460 -137.091614 8089.000000 -469.257324 233.321014 -354.121552
330.100006 100.384995 -44.720711 6188.000000 -433.041138 -170.954208 -480.042175
470.709015 170.526962 -30.254177 7649.000000 421.326324 -107.790550 -460.096832
390.687286 32.603649 -94.819092 7606.000000 37.608570 47.501411 -216.247192
650.114868 124.626236 -97.526665 9771.000000 -234.057037 488.704590 384.398865
649.837219 47.527458 -166.440796 7354.000000 -406.831482 -40.610924 447.723053
723.880737 193.667282 -63.514473 8402.000000 -386.654816 499.180847 293.989502
605.886047 69.783844 -102.893066 7270.000000 420.594055 473.872925 239.729004
828.808960 229.613693 -255.808594 9804.000000 434.279846 -483.566772 -318.715057
405.880280 173.681946 -70.249664 8482.000000 -301.101196 -140.645782 -152.277023
262.773804 66.305489 -57.930054 13509.000000 -286.797791 -151.930801 409.723450
515.097595 208.322098 -129.285370 8502.000000 -363.195038 136.564819 -385.454681
353.682953 176.379074 -14.102535 10725.000000 -43.329285 -496.470825 -287.532043
593.738403 138.219772 -21.219933 8773.000000 189.028534 -467.486908 -333.842041
243.362381 64.258377 -43.815514 14293.000000 -34.738174 231.886780 -282.452118
814.775085 112.132874 -163.802429 9917.000000 80.701202 -486.789917 385.389252
719.724121 356.738770 -24.234451 11576.000000 173.470428 46.368797 -378.493896
304.228333 115.239861 -96.338493 13615.000000 384.546234 251.650070 287.288025
