# v_cm v_tan, v_rad n_tot x_cm y_cm z_cm
352.496368 267.130096 -40.978004 788.222229 27808.390625 181785.281250 36294.765625
171.417145 57.449028 -62.508369 488.031555 126855.312500 108419.789062 200223.921875
406.898407 107.519608 -38.638680 800.772705 76498.828125 135662.234375 81585.132812
258.629608 196.388962 -363.476288 705.837891 16834.625000 97386.625000 186420.000000
229.802170 56.945911 -42.705284 673.591431 121225.265625 197458.703125 35730.367188
48.549709 134.882248 -14.517487 613.198303 168246.500000 186458.718750 114916.718750
950.054749 171.830231 -86.540482 569.115723 12831.226562 119360.265625 193849.312500
174.403076 50.991978 -58.215431 530.327942 65310.976562 12265.025391 50075.984375
421.801147 79.342316 -74.997070 432.592316 61755.984375 58552.109375 44295.765625
519.995117 243.868912 -12.535889 513.761597 142597.359375 82368.484375 63649.214844
325.442291 28.807331 -20.352417 463.872803 71901.859375 199827.250000 56963.707031
585.458984 79.443314 -50.283752 524.039734 66181.890625 34222.269531 171713.531250
307.814758 118.998634 -40.532024 407.281189 69681.695312 28277.398438 64208.570312
280.417419 201.593918 -112.335968 422.481262 93838.984375 126221.812500 128609.625000
157.263809 50.438873 -32.242470 428.077515 31407.644531 167461.468750 75821.718750
586.504517 53.447075 -75.080437 521.443420 13292.868164 178841.484375 51985.828125
449.902130 119.128983 -47.664513 545.022766 107682.414062 195090.046875 162804.656250
619.924072 23.246660 -45.161949 366.484253 140520.609375 45118.363281 20549.779297
251.923264 39.956543 -2.791153 485.165161 78376.820312 94158.843750 100002.750000
407.986053 121.592506 -118.199318 526.803711 1886.422852 202021.109375 27655.328125
217.304016 52.318100 -83.433815 404.340454 196786.375000 61759.929688 65652.445312
535.545349 32.704033 -23.064110 530.609619 87175.750000 117685.851562 79464.578125
445.484711 66.227394 -9.585587 475.074310 173692.703125 82395.382812 192145.578125
287.652069 58.148140 -14.645348 430.248810 86111.828125 63464.585938 41639.062500
494.641907 92.288063 -39.835060 446.073059 172894.531250 145328.250000 191992.812500
658.372803 89.165398 -25.447380 359.819275 15361.496094 13404.792969 124045.125000
448.191895 26.225994 -30.751457 392.537415 20320.175781 141428.796875 93249.703125
133.658844 79.646248 -75.134506 349.213837 75951.718750 100133.296875 82285.039062
819.227905 129.621277 -33.707314 374.067719 175533.046875 78489.617188 8761.227539
239.606750 131.900864 -14.862305 348.195465 24184.718750 42559.066406 74690.429688
518.579651 67.694321 -29.314865 279.033936 79865.492188 86480.562500 42400.546875
135.330078 66.147789 -26.982910 379.350769 67085.093750 147169.453125 16935.943359
258.197327 109.797585 -37.048889 335.944275 50446.625000 197925.687500 45227.644531
227.387741 48.691982 -16.120262 436.480835 12209.764648 195491.968750 40562.140625
1287.773438 61.294834 -67.909958 384.348694 41550.714844 50315.335938 140033.609375
485.664886 63.376518 -12.058216 272.359772 113548.718750 1957.878418 141569.125000
360.580078 100.354141 -84.725800 344.281311 28154.380859 114445.218750 22362.265625
288.828033 39.595181 -42.533203 343.944092 194542.156250 65263.199219 61533.257812
485.624603 277.460052 -34.490067 329.641602 20733.890625 135231.375000 45375.738281
656.453918 67.306938 -38.273540 305.219635 10047.409180 107974.828125 21547.980469
646.894836 28.497482 -12.086746 391.158569 22269.453125 95056.296875 97492.023438
770.923889 146.797562 -22.866798 218.625092 27732.023438 37738.621094 158817.953125
486.254303 44.342659 -38.049973 392.470001 56554.539062 12868.611328 108457.718750
586.977356 64.199913 -123.545364 360.097778 92283.984375 192517.312500 59177.515625
358.093201 130.205353 -10.948875 314.609436 153140.718750 156040.156250 9067.683594
144.905746 43.758636 -8.828346 357.814606 79346.398438 80644.843750 101200.968750
699.974121 164.148300 -2.963051 286.952271 2976.545898 98512.046875 190233.781250
175.386108 62.163681 -55.128662 281.946289 123836.250000 159616.250000 175038.734375
293.924438 59.044872 -33.406517 306.271301 201945.250000 118956.156250 71748.164062
602.312500 58.270828 -8.224411 256.964233 73370.312500 27250.019531 163252.546875
248.946259 55.490410 -106.767059 293.756897 71177.617188 200209.250000 46328.882812
191.452682 16.738205 -7.104187 249.640808 203280.281250 128107.734375 96979.203125
522.269409 45.105946 -15.168694 205.618027 135174.750000 101655.609375 49342.851562
126.390976 126.726952 -14.096550 268.816162 133847.000000 152620.625000 130589.843750
660.371338 94.356529 -26.389442 252.320801 71711.531250 35754.691406 155118.375000
221.674377 26.649929 -51.717129 212.138550 125282.070312 170923.546875 185428.750000
189.805664 35.192677 -41.859783 258.889893 183530.187500 25447.375000 70726.031250
263.791351 19.745697 -16.595589 207.488541 8205.020508 32053.294922 187720.671875
614.895752 142.346710 -43.112991 322.205261 79466.828125 72957.171875 46913.562500
329.640289 26.566158 -40.102165 342.796936 181955.359375 128894.906250 110730.187500
224.093063 6.076659 -62.279560 295.285217 199296.437500 66917.312500 91580.546875
271.764343 116.494774 -77.653030 293.399323 52190.062500 37746.113281 190696.156250
374.875153 30.534752 -37.865616 260.001129 84870.078125 8455.072266 11680.076172
330.952484 146.942276 -17.398056 254.236633 116859.468750 148214.281250 68325.500000
341.208740 53.305229 -79.127975 243.761520 204725.375000 149606.062500 182233.687500
165.443573 33.457294 -89.030983 236.693665 105718.859375 69003.273438 199107.031250
70.864868 64.185814 -73.895020 239.636688 204049.062500 55380.859375 43927.566406
