# v_cm v_tan, v_rad n_tot x_cm y_cm z_cm
410.831024 371.058563 -29.050880 909.095520 57613.015625 35070.648438 52923.820312
562.304443 202.328568 -192.126282 783.950378 102808.539062 33116.156250 5288.902344
838.554260 118.674583 -22.358299 428.750793 19325.742188 172229.390625 12764.536133
544.102295 117.632622 -163.999329 1115.026733 150551.078125 134530.281250 149279.421875
292.108459 75.550095 -124.275246 738.888672 128540.804688 195190.000000 8875.537109
487.238983 126.623917 -73.376991 709.897400 141865.671875 28040.978516 112543.062500
425.945770 85.330193 -31.546707 591.075012 25409.382812 177472.265625 132166.265625
255.362305 117.102852 -69.612572 635.685730 48620.781250 191104.406250 93740.085938
556.072449 146.639099 -12.717644 511.597595 149626.484375 182091.093750 85093.437500
263.550232 87.356010 -34.944450 564.933899 10308.980469 136038.250000 133407.187500
483.994110 180.036896 -99.105606 771.529724 204311.859375 103257.351562 133314.781250
282.897186 43.727493 -45.171066 598.752625 110497.726562 56781.699219 73207.843750
173.670364 67.604622 -63.708862 663.559387 126784.617188 108560.468750 200318.468750
332.701385 173.841187 -63.531418 469.511383 180737.656250 35106.082031 1014.050415
261.691895 79.046959 -54.724251 709.184753 198010.765625 83187.273438 73763.570312
400.347595 112.856842 -51.687462 746.647400 76472.992188 135669.625000 81593.718750
227.644958 137.516357 -77.245049 748.116211 198480.328125 192047.781250 138386.937500
169.048340 175.427673 -13.632072 537.182251 77206.867188 106435.484375 107395.460938
202.422272 103.347321 -142.106827 681.313232 86832.375000 143032.109375 16347.546875
699.609741 37.157932 -25.520668 621.070557 19201.896484 98711.210938 111856.773438
160.307968 179.637466 -66.564133 483.914551 68979.671875 12320.383789 62349.941406
211.768036 116.655952 -91.055420 551.179688 126076.992188 182195.937500 181666.718750
365.820496 78.257515 -69.543213 344.748871 120816.359375 41247.640625 184048.968750
173.893387 178.559509 -59.328362 591.153320 126434.226562 62908.988281 90011.875000
190.718079 141.828323 -61.437965 599.085510 100041.570312 20367.328125 83139.265625
291.378632 26.851879 -109.599327 340.323395 149254.671875 41973.429688 194389.562500
264.015930 18.297241 -35.040047 548.958069 62766.750000 100082.710938 6106.024902
501.207703 127.139412 -38.140511 569.349243 136315.250000 8025.856445 117765.585938
277.744293 94.566093 -33.026459 495.240723 55950.417969 157667.890625 195611.671875
217.106110 72.363350 -6.888031 567.512939 86897.773438 11305.858398 49585.710938
217.925690 119.118996 -103.731438 428.284851 69809.546875 43430.203125 68334.960938
297.426361 47.296501 -100.116837 684.431641 85654.820312 150530.421875 25194.990234
409.154480 121.855385 -67.205780 605.770569 24709.074219 180394.593750 92729.812500
315.265747 39.067501 -94.763847 427.549408 67963.976562 7454.035156 17165.542969
377.433319 74.507141 -71.335342 637.021484 155414.406250 178951.250000 66598.070312
151.145844 101.914406 -6.097633 288.662659 130237.656250 153880.062500 184163.625000
189.598755 159.839691 -108.649757 493.515015 51110.464844 88383.625000 27167.179688
692.959412 164.521408 -40.366550 404.653290 125094.828125 72596.039062 188947.031250
239.222900 36.078499 -61.970047 504.933868 116738.343750 172690.781250 11701.167969
597.550720 48.573589 -6.567116 345.202667 42385.281250 111831.187500 147445.812500
347.742432 20.285030 -40.653580 588.174316 71975.203125 199890.781250 56800.804688
296.736877 53.507172 -29.936478 483.288849 106698.078125 142461.765625 9120.162109
528.077454 31.600565 -65.415833 475.718567 87156.117188 117706.304688 79461.359375
391.422607 72.984550 -62.458237 413.630737 183937.078125 11357.836914 183499.062500
157.905731 50.620777 -36.000130 362.960693 128326.671875 64433.316406 175836.406250
403.612579 3.986795 -82.357689 383.412415 56814.960938 127417.250000 193243.968750
177.394653 21.730820 -34.993362 402.561371 30560.363281 203633.812500 44217.085938
160.954102 64.845688 -76.366707 651.065063 65328.289062 12288.302734 50112.421875
245.107849 134.488434 -21.587128 446.690430 146123.453125 146208.750000 142689.171875
831.375916 218.181290 -101.460625 383.083527 164772.015625 165833.859375 63529.429688
612.520203 169.965530 -114.995728 385.693756 51403.050781 138733.453125 48179.968750
414.248535 284.169281 -88.340317 516.181274 1074.657959 10210.428711 42631.109375
356.007324 268.451477 -3.919121 463.259155 110998.343750 165618.156250 115638.796875
397.036804 76.654648 -45.800560 433.147583 85587.796875 120637.812500 49226.675781
569.080872 248.910049 -3.297844 565.312988 142673.843750 82179.718750 63851.976562
182.347046 5.592091 -67.635185 510.954224 76214.507812 114168.515625 36414.226562
460.289490 54.234005 -10.135910 389.719879 120259.953125 54229.921875 29127.378906
294.808167 116.041847 -14.665508 449.952576 69724.734375 28276.982422 64184.976562
507.723816 173.546417 -3.112892 442.966187 27361.783203 181875.687500 73354.796875
205.980545 97.364021 -105.050598 519.603577 197313.093750 42360.691406 99733.796875
555.412048 41.285568 -32.824234 353.454193 51629.359375 112982.109375 177233.656250
336.808136 136.704941 -134.014755 470.607880 162330.593750 128355.093750 10054.697266
417.142853 19.489656 -25.392990 348.033752 118673.781250 37216.976562 178061.031250
363.405243 58.497856 -50.890343 496.040833 118370.437500 4149.668945 110159.578125
267.452240 80.789345 -134.354263 425.812988 35642.984375 4459.095703 199876.375000
510.572266 95.672371 -47.534241 488.157990 172877.359375 145440.218750 191933.937500
108.388092 137.406067 -9.223343 463.795898 138718.812500 184945.781250 188192.218750
188.749863 68.269287 -69.775612 403.614502 127571.984375 71692.429688 55490.726562
278.912689 103.041313 -32.633911 435.229950 118955.390625 67915.875000 68383.703125
360.197449 67.224190 -78.029732 364.621979 107195.898438 152827.781250 182614.562500
254.073105 89.239845 -10.130211 403.544556 51987.140625 122608.093750 15765.124023
374.747223 56.726318 -163.998398 446.966156 67073.312500 140126.890625 109369.296875
431.461823 33.989689 -43.429115 289.098206 20221.007812 141413.562500 93292.703125
613.489563 71.344933 -91.251282 465.924377 13389.844727 178791.062500 52004.031250
157.887665 47.995197 -57.691292 389.611511 174637.703125 143476.968750 49694.218750
496.898254 78.869171 -55.023865 332.140259 79999.015625 86387.031250 42482.484375
116.116486 65.762520 -32.809937 520.378662 67137.093750 146991.125000 16988.115234
104.527519 41.445560 -96.448685 412.834595 72815.453125 112264.015625 77663.460938
305.743256 36.788113 -28.098610 399.106689 87908.312500 157876.515625 125447.500000
323.010956 131.550583 -34.435120 434.796387 6545.795898 107446.828125 148448.375000
337.400818 108.166893 -54.884117 438.058411 27002.859375 102075.046875 50119.613281
16.341227 102.541771 -4.009422 353.064301 143767.796875 142032.531250 44180.523438
76.045151 65.373611 -15.994377 319.684448 142749.718750 204048.156250 60228.769531
435.703888 128.984131 -40.332321 409.040649 107676.000000 195179.031250 162882.468750
697.385132 144.330032 -14.499687 472.469849 184763.531250 130789.312500 1393.661621
97.465813 40.933002 -56.218056 390.042664 176769.875000 4458.740234 81883.546875
642.371033 30.779140 -68.952797 484.065369 114166.562500 5074.248047 22209.855469
254.584900 31.317614 -56.407936 314.008545 61642.566406 171767.593750 189552.281250
366.031555 157.312637 -31.492554 374.070251 171908.281250 187818.906250 24807.068359
511.378052 135.497345 -7.075294 342.000122 20941.714844 162598.015625 45762.207031
61.923004 62.525581 -58.443535 381.992310 189667.156250 203226.656250 158923.093750
321.426361 63.763035 -69.159683 411.008392 151970.390625 135488.937500 120256.296875
340.276550 26.192272 -94.929016 414.102142 41538.195312 74626.523438 63922.335938
641.424072 29.597462 -23.945190 367.880280 22263.578125 95069.984375 97493.093750
305.071136 3.390877 -42.580887 366.465088 70081.843750 132000.843750 172038.625000
646.399170 108.089912 -31.055626 388.957245 15315.633789 13443.041016 123938.289062
191.967026 32.736012 -10.922356 403.464844 124354.000000 114071.781250 67214.062500
497.562836 128.529953 -29.962234 354.429138 41490.226562 180041.203125 106468.218750
645.272400 60.929054 -8.631630 395.792206 47566.164062 38204.125000 53160.062500
278.600739 16.452881 -21.383575 327.125641 177213.203125 21787.841797 99391.203125
136.056763 12.465578 -153.006226 380.510040 106489.453125 131642.906250 84550.750000
305.881836 43.387516 -48.422318 372.567474 84170.640625 155876.625000 88504.242188
164.563934 10.931605 -2.397491 224.085571 24591.621094 144167.625000 105951.039062
107.959641 40.416477 -15.613747 295.649841 182806.687500 526.849304 76206.328125
431.668793 12.256536 -84.361473 413.860352 50817.187500 201868.515625 112055.140625
457.078217 37.366508 -21.105423 345.803131 184149.718750 5772.985840 198265.546875
468.733459 101.417923 -36.200623 333.944580 109723.859375 121396.906250 185421.421875
265.902924 97.561371 -28.338989 307.103516 39468.031250 14963.833984 186788.187500
770.746399 119.975372 -45.193836 260.189728 31826.541016 32862.546875 148993.093750
363.817291 19.525925 -90.858505 308.034576 50558.375000 75380.742188 24025.843750
542.781311 62.938927 -33.776047 314.330811 32952.562500 121287.898438 192108.562500
363.443298 53.810013 -81.133850 304.267395 93475.015625 202866.750000 89103.031250
292.349670 23.018166 -42.040245 359.191467 194541.187500 65314.976562 61607.289062
433.306000 82.782410 -68.006020 346.160034 24057.781250 203041.250000 177180.281250
517.984009 33.781105 -8.557869 266.943848 136863.312500 44895.316406 42185.523438
581.172424 51.411228 -13.057213 322.352112 82600.812500 137457.218750 178743.031250
484.819824 60.455296 -39.203094 346.527374 56512.164062 12868.646484 108461.078125
