# v_cm v_tan, v_rad n_tot x_cm y_cm z_cm
665.879944 63.490234 -69.210495 1377.000000 211.913925 435.726044 -131.970200
488.629364 129.088287 -149.322449 1532.000000 11.652914 -190.098557 408.456055
407.026062 137.045547 -198.925018 1935.000000 -256.738251 275.769470 -361.316956
323.875336 141.380615 -292.868561 2291.000000 -186.697205 8.235126 -65.854202
572.934753 82.070953 -51.759338 1469.000000 -305.779938 -33.771538 215.102020
123.275925 156.087952 -182.850677 1540.000000 225.180664 -55.515476 -214.179184
196.801682 32.155750 -157.186981 1515.000000 -47.311668 165.181488 16.481819
282.061951 118.966919 -81.321869 1315.000000 -448.345367 -216.432220 -69.423752
694.503784 199.833618 -5.343178 1187.000000 -305.484131 -113.667496 -26.623798
831.674133 186.363022 -91.407532 1481.000000 427.275146 -422.600159 -339.287506
690.023071 36.961632 -63.453102 1549.000000 -171.523026 -64.776756 58.900864
432.639832 47.985149 -3.872368 1523.000000 449.082397 -53.730816 177.582733
210.143600 130.660049 -76.571388 1180.000000 497.400116 277.297943 -428.342590
541.718079 44.296234 -190.729904 2058.000000 -361.779541 344.152283 -164.815948
268.944550 31.902378 -153.489120 1109.000000 82.522675 -94.325653 291.626343
739.004700 131.512054 -150.814423 1420.000000 -398.118988 -416.913696 -4.992343
233.248169 224.840988 -118.770889 1641.000000 -271.875580 68.666000 425.700531
435.977509 78.397415 -101.954453 1085.000000 439.598938 -125.168991 92.656708
313.357910 110.164223 -84.256271 1743.000000 -233.460510 330.482300 -114.932335
480.212402 102.489624 -73.019363 1571.000000 -139.866119 -298.654816 56.647781
548.801392 166.692566 -126.763329 1654.000000 111.952400 400.237793 92.697266
58.141201 72.893600 -242.069397 1636.000000 -164.624115 -185.567108 97.209869
158.839188 107.744797 -133.554749 1271.000000 -427.656128 -266.938171 422.663025
376.380096 249.473404 -205.582947 1092.000000 132.889145 -68.741234 115.453293
335.998993 136.290344 -181.484924 1473.000000 -268.800323 486.149109 -249.674652
282.295532 102.343590 -156.331970 1172.000000 -393.320770 173.916840 149.028229
234.140472 246.253281 -171.064606 2076.000000 -91.062668 243.774857 125.154388
511.340179 58.731880 -199.397552 1640.000000 469.124908 66.762100 348.377014
438.908142 99.192894 -148.726852 2323.000000 -34.104347 302.972473 -462.943237
725.752869 319.601440 -167.249939 1419.000000 379.888550 476.314026 391.812653
416.774292 87.653816 -180.533340 1431.000000 60.834702 279.974518 -126.611176
306.946869 93.443413 -163.925476 1369.000000 218.855225 -401.879669 -482.226196
368.481201 208.405121 -43.808510 1707.000000 284.446838 -117.103279 -174.370789
486.710815 15.229751 -53.628960 1602.000000 435.247833 -330.386963 374.132996
518.837341 118.321182 -58.033096 1484.000000 417.135529 235.487167 343.129272
315.147797 119.076851 -205.112640 1542.000000 329.949554 -208.685760 -35.767635
269.488159 152.252548 -132.549774 1537.000000 -174.355576 -263.787964 242.185028
851.386292 237.290161 -44.022930 1606.000000 227.597275 476.126953 -34.127583
203.066299 128.436584 -78.036247 1735.000000 -263.785950 288.207275 -300.562775
275.299286 52.223003 -156.674698 1690.000000 -261.088867 289.753998 489.758362
383.792816 34.774075 -77.401596 1354.000000 -481.380554 468.911804 -480.656433
182.597061 127.938828 -411.251770 2498.000000 29.963921 139.723663 302.246002
869.840149 453.000977 -758.454529 1826.000000 -228.852753 -41.596951 -18.955999
451.795288 216.732834 -106.873535 1541.000000 -132.388962 -298.006714 147.102448
784.431702 133.736816 -67.152527 1488.000000 88.647995 73.603340 -237.727646
535.290222 280.812927 -85.900078 1519.000000 456.752319 315.613831 -70.038925
924.989075 107.861168 -166.654816 1543.000000 -123.048233 228.423676 -449.224731
484.145325 78.036224 -119.807175 1529.000000 127.005035 336.446655 -370.699707
262.712158 76.353348 -88.720573 1181.000000 -19.731691 24.437979 367.825806
207.386383 210.265778 -122.299942 1513.000000 -140.420441 226.800720 -206.408340
749.998474 48.042259 -99.094528 1754.000000 55.688465 -254.201462 -241.291748
523.501282 87.210953 -151.799530 965.000000 -382.516235 -144.548859 -161.778534
212.521988 95.151978 -108.286102 1375.000000 181.914734 386.255310 242.638519
651.885010 57.739986 -232.803284 1713.000000 83.249054 -65.308708 -478.756592
309.623993 40.348724 -111.377655 1254.000000 -20.015896 -68.568420 -248.753494
386.273254 229.718521 -130.589294 1795.000000 291.442017 157.023087 -225.500397
304.068665 82.237488 -104.147934 1763.000000 321.044678 -340.078308 344.103333
503.648132 174.463501 -157.491440 1214.000000 425.507446 -93.893379 -187.739288
364.662659 47.346359 -99.855263 1429.000000 16.811224 -49.014648 -432.378601
514.462341 9.396330 -16.658852 1694.000000 99.740829 -257.568695 -25.571018
649.350708 26.411777 -92.123566 982.000000 263.422668 247.684219 48.249195
386.139862 210.381927 -165.083466 2425.000000 -273.352814 -48.852299 -51.483833
443.485565 148.995972 -77.204803 1602.000000 -406.562866 306.658569 -5.542401
647.515930 102.726883 -23.500481 1236.000000 -304.371429 -283.894958 192.453278
625.002625 102.331894 -209.793015 1442.000000 -52.764793 208.614395 -450.363220
706.567810 107.158981 -137.830170 1184.000000 481.533508 -379.279480 -341.540436
589.299805 120.312988 -125.403053 1544.000000 -116.381546 -340.484070 276.616577
246.700043 87.703056 -29.768181 1577.000000 -12.743426 400.458008 140.631790
495.532166 38.987026 -99.181641 1641.000000 -118.283920 -393.979187 -258.036224
108.160522 192.557404 -133.190674 3395.000000 -379.303741 122.848541 118.814606
292.532715 99.247711 -64.217560 1384.000000 99.096603 -250.950684 -112.020340
293.051331 50.275043 -118.070610 1723.000000 373.384766 -375.273376 369.957489
407.730164 165.824829 -54.753048 1474.000000 358.050476 297.476227 -140.198730
539.893677 189.082199 -294.319763 1706.000000 24.409435 -31.778980 -37.185188
516.616516 111.408981 -316.241821 1322.000000 -241.206482 427.344177 -132.792236
175.116867 18.160311 -138.952576 1418.000000 22.057133 -386.980713 215.977478
484.338776 103.916779 -66.691589 1270.000000 245.098633 -439.212036 133.534210
406.480591 180.715820 -91.138313 1315.000000 95.460449 -387.384033 195.037796
231.026566 126.604477 -43.773491 1617.000000 252.419113 395.571960 308.206604
579.349365 54.588840 -118.076019 1001.000000 406.418945 133.172592 -481.812561
867.250305 75.671967 -213.160767 1409.000000 296.358337 -433.013367 -354.059814
465.900879 31.425259 -236.281372 1815.000000 177.862350 433.833679 -81.033806
658.329773 73.283905 -223.471588 1349.000000 481.895447 -236.866409 119.952545
382.001953 112.230835 -30.689606 1623.000000 -452.146820 -134.663605 169.397476
371.179535 168.794922 -90.231354 939.000000 -64.719818 217.576645 363.450134
244.718338 71.191833 -186.414505 1565.000000 -488.460663 40.805435 -71.709152
505.863037 35.646267 -51.689476 1372.000000 -221.385330 -171.827179 -116.196747
775.653931 82.909767 -106.775551 1305.000000 -75.086357 445.764587 -214.304047
170.964493 55.038979 -249.116470 2268.000000 -434.253906 -236.173126 -389.541351
274.506958 182.573425 -188.974274 1879.000000 -44.220566 422.935913 -409.002747
424.814331 129.774582 -35.328392 1556.000000 487.856537 273.483185 -195.145050
512.884216 138.299561 -186.324554 1899.000000 -403.115479 160.532944 286.719788
276.595734 98.321220 -94.616730 1125.000000 -148.121948 -324.671417 -38.942863
442.476501 104.328506 -187.021545 1439.000000 -37.426956 118.357048 -202.555984
498.954834 29.068213 -238.531982 1825.000000 -341.854797 -51.454128 258.878479
656.529541 156.786301 -169.662918 1410.000000 263.468262 223.037262 278.584198
361.556763 87.606384 -165.837296 1589.000000 -492.577637 -178.579132 98.901535
612.061035 84.509697 -95.276634 1596.000000 -224.746552 -340.245148 96.381241
440.112732 146.035843 -139.671021 1334.000000 285.087738 -19.880833 56.966370
604.398071 155.846298 -52.306938 1333.000000 -125.051056 -177.473602 31.182703
