# v_cm v_tan, v_rad n_tot x_cm y_cm z_cm
142.316452 16.978559 -42.734726 483.437195 19268.306641 5613.588867 42472.195312
383.536194 30.728937 -96.431564 461.448792 30566.314453 52496.695312 49273.460938
255.349503 67.219131 -89.808266 341.490173 29404.171875 12604.967773 58966.914062
244.078674 22.307028 -77.680321 369.321167 64028.582031 11900.484375 5062.593750
214.852661 66.797615 -214.394424 320.884155 58388.734375 29365.101562 798.536987
343.102112 18.475279 -138.619324 335.017090 1604.305908 55810.359375 68309.937500
