# v_cm v_tan, v_rad n_tot x_cm y_cm z_cm
303.149689 48.470051 -41.688866 343.414551 65949.820312 100341.593750 170998.046875
299.039185 108.369644 -26.568253 333.816376 118999.562500 67857.421875 68471.234375
163.597229 52.027245 -72.429848 399.818298 174690.140625 143487.500000 49716.492188
483.087891 101.345703 -32.769936 366.354980 109742.328125 121334.781250 185391.546875
352.477448 41.956219 -18.650787 380.310608 55448.757812 13660.082031 80356.468750
347.870178 104.329979 -36.124901 322.934601 49210.718750 7337.133789 147879.953125
319.762512 63.410385 -68.363960 341.484406 151971.062500 135508.171875 120238.781250
658.107605 104.929535 -25.720306 367.762634 15338.941406 13494.539062 123912.781250
191.946716 93.207191 -51.416725 354.503601 202138.562500 139527.312500 116244.859375
334.760376 30.142305 -96.465813 323.142090 41540.062500 74579.210938 63983.769531
206.279404 53.371178 -75.932198 397.442383 198228.125000 96164.281250 151088.500000
312.809082 6.697641 -45.982445 360.369995 21903.849609 197942.718750 167895.531250
492.872223 125.469116 -24.553909 413.490662 41508.984375 180042.078125 106470.843750
637.790955 31.924578 -23.348488 299.549835 22309.349609 95061.390625 97477.921875
551.199158 346.158508 -81.700752 387.316284 117496.085938 130937.046875 180650.406250
118.220566 6.316366 -2.404167 340.068359 185073.281250 173714.156250 5614.248047
205.755386 66.571648 -41.007759 391.863525 61240.457031 94522.312500 175429.937500
612.274597 69.680000 -67.775749 332.168030 13408.695312 178756.078125 52023.367188
488.074890 56.628620 -50.046333 392.550079 56491.632812 12846.770508 108444.812500
495.883881 110.710869 -80.511078 382.420532 100994.250000 31154.082031 140847.375000
384.925110 99.184692 -100.263084 312.237976 28143.460938 114585.734375 22483.808594
576.976990 48.095284 -14.703033 393.478363 82653.968750 137440.296875 178734.468750
276.245850 154.816605 -124.195442 195.882217 178357.781250 154383.875000 48907.421875
349.586639 156.464096 -27.967922 334.689178 153103.968750 155985.062500 9060.384766
469.506165 39.074348 -165.926788 384.227417 46424.437500 97106.343750 40126.757812
442.054718 165.746765 -36.853897 392.308289 28997.656250 72443.390625 137737.828125
403.997742 15.388459 -5.608177 366.926331 73033.289062 160050.437500 109610.078125
429.330139 73.929825 -59.516586 354.535217 24069.406250 203074.250000 177181.656250
348.226105 104.980522 -86.672615 343.446198 160562.375000 33745.414062 41004.867188
189.093216 26.035320 -22.146355 360.319885 203272.578125 128091.195312 96978.140625
643.322449 105.353737 -22.577023 339.682007 60467.632812 49726.714844 129669.171875
415.452545 19.751137 -10.283852 313.977234 24479.009766 84424.343750 113563.570312
413.008209 177.928085 -174.465973 391.522827 62517.917969 93823.195312 102012.453125
108.233177 37.073631 -22.692169 413.514923 182788.812500 564.545959 76202.929688
361.455200 34.743008 -9.281609 331.574341 199677.531250 203631.406250 200047.656250
361.364594 58.635086 -9.976990 380.318176 31574.568359 63858.777344 169183.843750
432.779266 43.521412 -71.277863 372.900330 152869.937500 11753.589844 81856.859375
560.682678 70.384285 -57.757515 318.883179 76319.132812 198529.468750 77276.398438
352.260529 103.743942 -43.136787 296.996704 179174.875000 97679.218750 57539.597656
505.292480 58.747017 -13.465881 299.062805 31464.035156 81140.695312 156318.375000
755.374512 152.820908 -8.440208 352.713562 27749.896484 37705.593750 158859.343750
268.733856 66.841675 -30.826477 239.682602 4882.435547 172834.000000 155662.093750
418.491089 62.302143 -24.614155 336.977905 79213.851562 54510.507812 132284.234375
661.231323 122.993530 -77.702515 317.967377 130146.031250 173319.125000 76019.468750
348.258850 171.118134 -91.311539 266.224670 106794.375000 70405.359375 122580.148438
184.057678 134.701309 -89.767998 353.369812 64795.117188 90597.968750 178919.812500
281.513306 91.906822 -43.816826 352.165894 201960.125000 121193.390625 70101.500000
470.308380 61.145798 -35.418247 277.702881 82363.695312 124883.054688 183217.046875
275.962555 91.503860 -77.117111 320.240326 170048.765625 57577.148438 127962.234375
59.125618 87.520035 -1.381607 297.919067 58316.417969 145883.187500 103946.039062
115.904533 58.346050 -110.809708 299.786072 133873.828125 59565.000000 110815.632812
291.200775 43.929077 -89.400642 301.480713 39685.750000 79246.343750 151482.000000
573.175110 77.125305 -44.005188 311.904602 148638.328125 116766.960938 174839.718750
306.350891 40.601604 -64.442619 303.676666 109523.562500 200376.531250 68170.781250
268.351898 23.935461 -4.992706 281.484985 53134.765625 178156.625000 11630.043945
268.454254 117.749504 -71.683685 341.849274 52181.242188 37755.210938 190647.531250
385.573120 31.832140 -50.399292 291.642456 36481.812500 123790.859375 181796.875000
333.042694 29.233820 -11.644009 267.251770 70059.578125 132049.671875 171998.625000
164.188004 110.736687 -7.761566 267.889587 122058.476562 123501.578125 58289.585938
